LabComponentKey,LabComponentEpicId,measurement_concept_id,CommonName,BundleName,n_lab_component_result,n_procedure_orders
14292,4516,NA,% OF CD4+ CD5R0+ (CD4 MEMORY),*Unspecified,7,7
15014,4688,NA,% OF CD4- CD8- (DOUBLE-VE T),*Unspecified,7,7
15029,4700,NA,% OF CD4+ CD45R0+ CXCR5+ (TFH) TTFH,*Unspecified,7,7
15013,4687,NA,% OF CD4+ CD45RA+ (CD4 NAIVE),*Unspecified,7,7
14996,4671,NA,% OF CD8+ CD27- CD28- (EF),*Unspecified,7,7
15025,4698,NA,% OF CD4+ CD45RA+ CD31+ (RTES) TTET,*Unspecified,7,7
15021,4694,NA,% OF CD45R0+ CD127LOW CD25+ TRE2,*Unspecified,8,7
21316,5562,NA,NOTE,*Unspecified,2,8
21037,5353,NA,HISTORIC PLEASE NOTE,*Unspecified,6,8
21095,5412,NA,HISTORIC COMMENT,*Unspecified,2,9
9461,3040577,NA,COMMENTS NICL,*Unspecified,9,9
4119,1621,NA,BLOOD CULTURE,*Unspecified,9,9
14858,4547,NA,NEUREXIN-3-ALPHA ANTIBODIES,*Unspecified,28,9
21007,5323,NA,HISTORIC BLOOD BANK COMMENT,*Unspecified,8,10
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,10,10
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,10,10
12613,3043755,NA,AP RESULT STATUS,*Unspecified,10,10
12616,3043758,NA,AP CASE TYPE,*Unspecified,10,10
20985,5301,NA,HISTORIC PRODUCT ORDER DETAILS,*Unspecified,10,10
14142,4381,NA,% OF TRANSITIONAL B CELLS,*Unspecified,122,11
14272,4499,NA,% OF CD21- CD38-,*Unspecified,123,11
14271,4498,NA,% OF CD27+ IGD- (SW. MEMORY) LCD4,*Unspecified,123,11
14138,4378,NA,% OF CD27+ IGD+ (IGM MEMORY),*Unspecified,123,11
14281,4506,NA,% OF CD27+ IGD- (SW. MEMORY) LTCR,*Unspecified,123,11
14139,4379,NA,% OF CD27- IGD+ (NAIVE),*Unspecified,123,11
14280,4505,3010503,% OF CD19+ B CELLS,*Unspecified,123,11
14141,4380,NA,% OF PLASMABLASTS,*Unspecified,124,11
15017,4690,NA,TPMT GENOTYPING,*Unspecified,155,11
10187,3041302,NA,CSF GLYCINE RECEPTOR ANTIBODY,*Unspecified,6,12
21007,5323,NA,HISTORIC BLOOD BANK COMMENT,*Unspecified,10,12
21243,5489,NA,DIAGNOSIS,*Unspecified,12,12
21247,5493,NA,RELIGION,*Unspecified,12,12
21242,5488,NA,DATE OF DEATH,*Unspecified,12,12
21040,5356,NA,HISTORIC TIME OF DEATH,*Unspecified,12,12
20985,5301,NA,HISTORIC PRODUCT ORDER DETAILS,*Unspecified,12,12
14923,4605,NA,RED CELL FOLATE,*Unspecified,12,12
21246,5492,NA,PROPERTY,*Unspecified,12,12
21077,5393,NA,HISTORIC PLEASE NOTE,*Unspecified,15,15
21307,5553,NA,PRODUCT ORDER,*Unspecified,2,19
20985,5301,NA,HISTORIC PRODUCT ORDER DETAILS,*Unspecified,19,19
21007,5323,NA,HISTORIC BLOOD BANK COMMENT,*Unspecified,19,19
10528,3041643,3016273,IA2 ANTIBODIES,*Unspecified,839,61
11530,3042649,NA,ZNT8 ANTIBODIES,*Unspecified,859,61
11531,3042650,NA,GLUTAMIC ACID DECARBOX ABS,*Unspecified,862,61
12629,3043771,NA,CLINICAL DATA(3),*Unspecified,109,109
12639,3043781,NA,SCREENER,*Unspecified,109,109
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,109,109
12622,3043764,NA,ADDRESS(3),*Unspecified,109,109
12621,3043763,NA,ADDRESS(2),*Unspecified,109,109
12623,3043765,NA,ADDRESS(4),*Unspecified,109,109
12641,3043783,NA,SMEAR REPORT,*Unspecified,109,109
12642,3043784,NA,SMEAR REPORT (2),*Unspecified,109,109
12627,3043769,NA,CLINICAL DATA(1),*Unspecified,109,109
21222,5468,NA,TRAINEE'S RESULT GRADE,*Unspecified,109,109
12628,3043770,NA,CLINICAL DATA(2),*Unspecified,109,109
12633,3043775,NA,FHSA CODE,*Unspecified,109,109
12637,3043779,NA,RESULT GRADE,*Unspecified,109,109
12620,3043762,NA,ADDRESS(1),*Unspecified,109,109
6120,1810989,NA,ADDITIONAL INFORMATION,*Unspecified,109,109
12619,3043761,NA,ACTION,*Unspecified,109,109
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,109,109
12613,3043755,NA,AP RESULT STATUS,*Unspecified,109,109
12616,3043758,NA,AP CASE TYPE,*Unspecified,109,109
12636,3043778,NA,REASON FOR SMEAR,*Unspecified,109,109
21221,5467,NA,TRAINEE,*Unspecified,109,109
12626,3043768,NA,CHECKER,*Unspecified,109,109
12624,3043766,NA,AUTHORISED BY AUTH,*Unspecified,109,109
12635,3043777,NA,LAST MENSTRUAL PERIOD,*Unspecified,199,109
12634,3043776,NA,LAST TEST,*Unspecified,207,109
21215,5461,NA,DATE OF TEST,*Unspecified,218,109
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,177,181
12613,3043755,NA,AP RESULT STATUS,*Unspecified,181,181
12616,3043758,NA,AP CASE TYPE,*Unspecified,181,181
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,181,181
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,301,301
12613,3043755,NA,AP RESULT STATUS,*Unspecified,301,301
12616,3043758,NA,AP CASE TYPE,*Unspecified,301,301
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,302,301
21061,5377,NA,HISTORIC AUTOMATED RH + K PHENOTYPE,*Unspecified,106,940
21063,5379,NA,HISTORIC PROBABLE GENOTYPE,*Unspecified,849,940
21263,5509,NA,C PHENOTYPE,*Unspecified,849,940
21265,5511,NA,NEGATIVE CONTROL,*Unspecified,849,940
20989,5305,NA,HISTORIC C PHENOTYPE,*Unspecified,849,940
6184,1811055,NA,PHENOTYPE,*Unspecified,849,940
21264,5510,NA,K PHENOTYPE,*Unspecified,849,940
21054,5370,NA,HISTORIC E PHENOTYPE,*Unspecified,1698,940
9461,3040577,NA,COMMENTS NICL,*Unspecified,8,950
21558,5815,NA,PARANODAL ANTIBODIES COMMENTS,*Unspecified,36,950
23233,8830,NA,COMMENT FOR PARANODAL ANTIBODIES,*Unspecified,299,950
21555,5812,NA,CASPR1 ANTIBODY,*Unspecified,348,950
21557,5814,NA,NEUROFASCIN 186 ANTIBODY,*Unspecified,348,950
21556,5813,NA,NEUROFASCIN 140 ANTIBODY,*Unspecified,348,950
14319,4540,NA,NEUROFASCIN 155,*Unspecified,359,950
14121,4362,NA,CONTACTIN-1 ANTIBODY,*Unspecified,361,950
20982,5298,NA,HISTORIC,*Unspecified,38531,1141
21095,5412,NA,HISTORIC COMMENT,*Unspecified,5,1657
9461,3040577,NA,COMMENTS NICL,*Unspecified,269,1657
21568,5825,NA,AQUAPORIN4 COMMENTS,*Unspecified,1282,1657
21569,5826,NA,MOG ANTIBODY COMMENTS,*Unspecified,1392,1657
9885,3041000,3046426,NMO AQUAPORIN-4 ANTIBODIES,*Unspecified,2659,1657
9923,3041038,NA,ANTI-MOG,*Unspecified,2664,1657
21010,5326,NA,HISTORIC PATHOLOGIST,*Unspecified,2157,2157
15074,4741,NA,VZ IGG (LIAISON CONFIRMATION),*Unspecified,67,2325
20991,5307,NA,HISTORIC SMEAR TAKER,*Unspecified,4660,4660
9803,3040919,3014173,125-DIHYDROXY VITAMIN D,"1,25-dihydroxy vitamin D (not for routine use)",567,1100
21095,5412,NA,HISTORIC COMMENT,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal),2,2686
9810,3040926,NA,OXCARBAZEPINE DOSE,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal),1600,2686
9811,3040927,NA,OXCARBAZEPINE TIME,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal),1926,2686
9809,3040925,NA,10-HYDROXYCARBAZEPINE LEVEL,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal),2670,2686
21095,5412,NA,HISTORIC COMMENT,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal) - Drug Levels,2,452
9810,3040926,NA,OXCARBAZEPINE DOSE,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal) - Drug Levels,1600,452
9811,3040927,NA,OXCARBAZEPINE TIME,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal) - Drug Levels,1926,452
9809,3040925,NA,10-HYDROXYCARBAZEPINE LEVEL,10-hydroxycarbazepine (oxcarbazepine metabolite) (Trileptal) - Drug Levels,2670,452
10962,3042081,46236815,11 BETA HYDROXYLASE CYP11B1,11-Beta-Hydroxylase Gene Sequence,6,11
10839,3041956,3014018,11-DEOXYCORTISOL,11-Deoxycortisol,190,240
12124,3043255,NA,COA,16S PCR,6,154
21442,5692,NA,16S RDNA PCR,16S PCR,12,154
12126,3043257,NA,STREPTOCOCCUS PNEUMONIAE PCR,16S PCR,22,154
12125,3043256,NA,STREPTOCOCCUS PYOGENES PCR,16S PCR,26,154
12123,3043254,NA,STAPHYLOCOCCUS AUREUS PCR,16S PCR,27,154
12119,3043250,NA,PLEASE NOTE P16A,16S PCR,40,154
12127,3043258,NA,PCR 16S IDENTIFICATION,16S PCR,41,154
12128,3043259,NA,COMMENT P16C,16S PCR,71,154
12122,3043253,NA,COMMENT P16N,16S PCR,85,154
12121,3043252,NA,16S RDNA SCREENING PCR P16S,16S PCR,94,154
12120,3043251,NA,TESTED BY P16R,16S PCR,99,154
13671,3958,NA,EXT MAN ENTRD 16S RDNA SCREENING PCR,16S PCR,148,154
11028,3042147,NA,17 ALPHA HYDROXYLASE CYP17A1,17 A Hydroxylase Cyp17A1,1,1
11074,3042193,NA,17 BETA HSD HSD17B3,17-Beta-Hydroxysteroid Dehydrogenase Gene Sequence,5,22
7932,2182,NA,EXT MAN ENTRD 17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone,1,9521
9386,3040502,3023530,17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone,9833,9521
7932,2182,NA,EXT MAN ENTRD 17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone - Every 1 Hour,1,1663
9386,3040502,3023530,17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone - Every 1 Hour,9833,1663
7932,2182,NA,EXT MAN ENTRD 17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone - Every 2 Hours,1,58
9386,3040502,3023530,17-HYDROXYPROGESTERONE,17-Hydroxyprogesterone - Every 2 Hours,9833,58
12059,3043190,NA,PLEASE NOTE V18A,18S PCR Screen,12,164
15241,4892,NA,TESTED BY V18R,18S PCR Screen,26,164
12213,3043346,NA,COMMENT P18C,18S PCR Screen,32,164
12061,3043192,NA,18S RDNA SEQUENCE V18I,18S PCR Screen,34,164
12211,3043344,NA,18S RDNA SCREENING PCR P18S,18S PCR Screen,36,164
11676,3042799,NA,SPECIMEN TYPE AFBS,18S PCR Screen,74,164
12062,3043193,NA,COMMENT V18C,18S PCR Screen,556,164
12060,3043191,NA,18S RDNA SCREENING PCR V18S,18S PCR Screen,631,164
21095,5412,NA,HISTORIC COMMENT,1st Trim. Downs Screen (hCG and PAPP-A),3,63527
9094,3040210,3011465,FREE B-HCG,1st Trim. Downs Screen (hCG and PAPP-A),63082,63527
9095,3040211,3021584,PREGNANCY ASSOC. PL. PROT. A,1st Trim. Downs Screen (hCG and PAPP-A),63501,63527
11707,3042830,NA,CLINICAL COMMENT FC7C,21 Day Fungal Culture,121,7705
21095,5412,NA,HISTORIC COMMENT,21 Day Fungal Culture,302,7705
11706,3042829,NA,LABORATORY COMMENT FC7L,21 Day Fungal Culture,405,7705
83,1089,NA,ISOLATE ISOLATE,21 Day Fungal Culture,458,7705
11705,3042828,NA,ISOLATES FC7I,21 Day Fungal Culture,1674,7705
11704,3042827,NA,CULTURE FC7D,21 Day Fungal Culture,21059,7705
11764,3042888,37398651,21 DAY FUNGAL CULTURE FC21,21 Day Fungal Culture,22606,7705
11708,3042831,NA,STATUS FC7S,21 Day Fungal Culture,22635,7705
21095,5412,NA,HISTORIC COMMENT,24 hour Urine Collection,6,10592
8958,3040074,3009508,URINE CREATININE UCR,24 hour Urine Collection,6512,10592
9090,3040206,3014724,URINE CREATININE OUTPUT,24 hour Urine Collection,8123,10592
9089,3040205,3012565,URINE VOLUME (HSL),24 hour Urine Collection,8516,10592
9088,3040204,NA,URINE COLLECTION PERIOD UT,24 hour Urine Collection,8812,10592
11114,3042233,NA,3 BETA HSD HSD3B2,3-Beta-Hydroxysteroid Dehydrogenase Gene Sequence,1,2
10330,3041445,NA,PLASMA 3-HYDROXYBUTYRATE 3HBG,3-Hydroxy Butyrate,722,1062
9397,3040513,NA,COMMENT DR10,4-Part Drvvt Test,7,9
9390,3040506,3010528,DRVVT TEST RATIO,4-Part Drvvt Test,9,9
9393,3040509,NA,DRVVT CONFIRM 5050 PT/NORM,4-Part Drvvt Test,9,9
9394,3040510,NA,DRVVT CONFIRM 5050 RATIO,4-Part Drvvt Test,9,9
9392,3040508,NA,DRVVT CONFIRM RATIO,4-Part Drvvt Test,9,9
9396,3040512,NA,5050 RATIO CORRECTION %,4-Part Drvvt Test,10,9
9391,3040507,NA,DRVVT 5050 RATIO,4-Part Drvvt Test,10,9
9395,3040511,NA,DRVVT RATIO CORRECTION %,4-Part Drvvt Test,11,9
11187,3042306,NA,5 ALPHA REDUCTASE SRD5A2,5-Alpha-Reductase Gene Sequence,3,5
11707,3042830,NA,CLINICAL COMMENT FC7C,7 Day Fungal Culture,130,7237
21095,5412,NA,HISTORIC COMMENT,7 Day Fungal Culture,136,7237
11703,3042826,NA,PLEASE NOTE FC7A,7 Day Fungal Culture,210,7237
83,1089,NA,ISOLATE ISOLATE,7 Day Fungal Culture,910,7237
11706,3042829,NA,LABORATORY COMMENT FC7L,7 Day Fungal Culture,1321,7237
11705,3042828,NA,ISOLATES FC7I,7 Day Fungal Culture,2733,7237
11704,3042827,NA,CULTURE FC7D,7 Day Fungal Culture,9826,7237
11702,3042825,NA,7 DAY FUNGAL CULTURE FC7,7 Day Fungal Culture,12531,7237
11708,3042831,NA,STATUS FC7S,7 Day Fungal Culture,12924,7237
11305,3042424,NA,? ACUTE KIDNEY INJURY FLAG,?Acute Kidney Injury Flag,719,719
8906,3040022,3022709,PROMYELOCYTES PROA,A/E Full Blood Count,12,144488
8895,3040011,NA,NUCLEATED RBCS %,A/E Full Blood Count,25,144488
8907,3040023,3005105,BLASTS BLAA,A/E Full Blood Count,109,144488
8904,3040020,3024507,METAMYELOCYTES MET,A/E Full Blood Count,151,144488
8905,3040021,3021120,MYELOCYTES MYEA,A/E Full Blood Count,191,144488
8903,3040019,3040168,IMMATURE GRANULOCYTE COUNT,A/E Full Blood Count,468,144488
8902,3040018,3050479,IMMATURE GRANULOCYTE COUNT %,A/E Full Blood Count,468,144488
9009,3040125,3001490,XE NUCLEATED RBCS ABS,A/E Full Blood Count,2252,144488
9008,3040124,3034708,XE NUCLEATED RBCS %,A/E Full Blood Count,2253,144488
8896,3040012,3018760,FILM COMMENT,A/E Full Blood Count,3306,144488
8894,3040010,3001123,MPV,A/E Full Blood Count,72200,144488
8901,3040017,3006315,BASOPHILS BA,A/E Full Blood Count,73274,144488
8900,3040016,3013115,EOSINOPHILS EO,A/E Full Blood Count,73347,144488
8892,3040008,3002385,RDW,A/E Full Blood Count,73390,144488
8893,3040009,3007461,PLATELET COUNT,A/E Full Blood Count,73978,144488
8898,3040014,3019198,LYMPHOCYTES LY,A/E Full Blood Count,73990,144488
8899,3040015,3001604,MONOCYTES MO,A/E Full Blood Count,73991,144488
8897,3040013,3017732,NEUTROPHILS NE,A/E Full Blood Count,73991,144488
8887,3040003,3000963,HAEMOGLOBIN G/L,A/E Full Blood Count,73993,144488
8888,3040004,3009542,HCT HCTU,A/E Full Blood Count,73994,144488
8891,3040007,3003338,MCHC G/L,A/E Full Blood Count,73994,144488
8890,3040006,3035941,MCH,A/E Full Blood Count,73994,144488
8889,3040005,3024731,MCV,A/E Full Blood Count,73994,144488
8886,3040002,3026361,RED CELL COUNT,A/E Full Blood Count,73996,144488
8885,3040001,3010813,WHITE CELL COUNT WCC,A/E Full Blood Count,73997,144488
9335,3040451,3035637,ADRENOCORTICOTROPHIC HORMONE,ACTH,12626,17323
9335,3040451,3035637,ADRENOCORTICOTROPHIC HORMONE,ACTH (8:00am),12626,3
10548,3041663,3042349,ADAMTS-13 ANTIBODY ASSAY-ELISA,ADAMTS-13 Ab - Elisa,2221,292
9540,3040656,3044624,ADAMTS 13 ACTIVITY FRET METHOD,ADAMTS-13 Activity,14958,31628
10548,3041663,3042349,ADAMTS-13 ANTIBODY ASSAY-ELISA,ADAMTS-13 Antibody (IgG),2221,3462
12405,3043542,NA,AURAMINE STAIN,AFB Microscopy,3,28872
11686,3042809,NA,CLINICAL COMMENT AFCC,AFB Microscopy,81,28872
11683,3042806,NA,PLEASE NOTE AFMA,AFB Microscopy,942,28872
11685,3042808,NA,LABORATORY COMMENT AFMC,AFB Microscopy,1107,28872
11682,3042805,NA,AFB MICROSCOPY,AFB Microscopy,38048,28872
11684,3042807,NA,MICROSCOPY AFBM,AFB Microscopy,40726,28872
21095,5412,NA,HISTORIC COMMENT,AFB Ref Lab,18,974
11989,3043117,NA,PLEASE NOTE AFRA,AFB Ref Lab,242,974
83,1089,NA,ISOLATE ISOLATE,AFB Ref Lab,576,974
11991,3043119,NA,AFB CONFIRMED ISOLATES,AFB Ref Lab,873,974
11992,3043120,NA,COMMENT AFRC,AFB Ref Lab,1022,974
11988,3043116,NA,MYCO REF LAB,AFB Ref Lab,1363,974
11990,3043118,NA,CONFIRMED ISOLATE REPORTED BY,AFB Ref Lab,1494,974
23859,304410008,NA,WINPATH ALEX,ALEX - Allergy Profile,28,59
9313,3040429,3005322,IMMUNOGLOBULIN E,ALEX - Allergy Profile,29,59
21095,5412,NA,HISTORIC COMMENT,ANA Screen,1,132314
9000,3040116,NA,PLEASE NOTE ANIA,ANA Screen,71,132314
9003,3040119,NA,COMMENT ANAC,ANA Screen,156,132314
21464,5714,NA,ANA TEST (2ND PATTERN),ANA Screen,2171,132314
9002,3040118,3024536,ANA PATTERN,ANA Screen,7551,132314
9001,3040117,3002971,ANA TEST,ANA Screen,76228,132314
21095,5412,NA,HISTORIC COMMENT,ANCA Elisa,1,17285
9624,3040740,NA,PLEASE NOTE RANA,ANCA Elisa,4,17285
9627,3040743,NA,COMMENT RNCM,ANCA Elisa,1723,17285
9625,3040741,3049398,MPO ELISA,ANCA Elisa,11839,17285
9626,3040742,3051669,PR3 ELISA,ANCA Elisa,11917,17285
21276,5522,NA,NOTE,ANCA Screen,19,73301
9091,3040207,NA,PLEASE NOTE ACCA,ANCA Screen,41,73301
9093,3040209,NA,COMMENT ANCC,ANCA Screen,79,73301
9092,3040208,3040147,ANCA SCREEN,ANCA Screen,40858,73301
23838,304040048,NA,WINPATH APOE ALLELES,APOE Genotyping,11,32
23834,304040050,NA,WINPATH APOE ELECTRONIC AUTHORISTION,APOE Genotyping,11,32
8936,3040052,3010589,APTT 50/50 MIX,APTT,14,101
8935,3040051,3018677,APTT (HSL) APTT,APTT,58,101
21095,5412,NA,HISTORIC COMMENT,ASO Titres,2,3099
9742,3040858,NA,PLEASE NOTE ASOA,ASO Titres,145,3099
9744,3040860,NA,COMMENT ASCM,ASO Titres,184,3099
9741,3040857,NA,ASO TITRE,ASO Titres,2263,3099
9743,3040859,3028050,ASO TITRE RESULT ASOR,ASO Titres,2271,3099
10295,3041410,3019416,ACANTHOCYTES,Acanthocytes (Wet Prep),768,1274
10188,3041303,NA,PLEASE NOTE ACRA,Acetyl Choline Receptor Antibodies (Immunology),1,334
14264,4491,NA,IMMUNOLOGY SAVE,Acetyl Choline Receptor Antibodies (Immunology),2,334
21279,5525,NA,COMMENT,Acetyl Choline Receptor Antibodies (Immunology),16,334
21095,5412,NA,HISTORIC COMMENT,Acetyl Choline Receptor Antibodies (Immunology),85,334
10191,3041306,NA,INTERPRETATION ACHI,Acetyl Choline Receptor Antibodies (Immunology),203,334
10190,3041305,3006257,ACH RECEPTOR ABS,Acetyl Choline Receptor Antibodies (Immunology),283,334
10189,3041304,3028850,TESTED BY ACRE,Acetyl Choline Receptor Antibodies (Immunology),318,334
9461,3040577,NA,COMMENTS NICL,Acetyl Choline Receptor Antibodies (Neurology),554,5842
23234,8840,NA,ACETYL CHOLINE RECEPTOR ANTIBODIES COMMENTS,Acetyl Choline Receptor Antibodies (Neurology),1785,5842
9861,3040977,3006257,ACETYLCHOLINE RECEPTOR TITRE,Acetyl Choline Receptor Antibodies (Neurology),2955,5842
9860,3040976,3042927,ACETYL CHOLINE RECEPTOR ABS,Acetyl Choline Receptor Antibodies (Neurology),3056,5842
14951,4630,NA,ACICLOVIR,Aciclovir and Ganciclovir drug levels,2,10
11208,3042327,NA,DARUNAVIR LEVEL,Aciclovir and Ganciclovir drug levels,7,10
11210,3042329,NA,ITRACONAZOLE LEVEL ITRA,Aciclovir and Ganciclovir drug levels,7,10
11206,3042325,NA,PLEASE NOTE DRG1,Aciclovir and Ganciclovir drug levels,8,10
11209,3042328,NA,GANCYCLOVIR LEVEL,Aciclovir and Ganciclovir drug levels,11,10
11207,3042326,NA,SPECIMEN TESTED BY DRG2,Aciclovir and Ganciclovir drug levels,16,10
11211,3042330,NA,CLINICAL COMMENT DRCC,Aciclovir and Ganciclovir drug levels,18,10
11299,3042418,3030512,ACID GEL ELECTROPHORESIS PH6.3,Acid Gel Electrophoresis,4,4
11093,3042212,NA,ACID PHOSPHATASE TOTAL,Acid Phosphatase,14,18
